,Rank (Borda),Model,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task)
26,27,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),6776.0,1.543,8960.0,32768.0,45.85
27,28,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),582.0,0.305,768.0,8192.0,45.7
28,29,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),1061.0,0.278,768.0,514.0,45.41
29,30,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),13563.0,7.111,4096.0,32768.0,45.08
30,31,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),13563.0,7.111,4096.0,32768.0,44.41
31,32,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),13563.0,7.111,4096.0,32768.0,44.24
32,33,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),13813.0,7.24,4096.0,32768.0,44.18
33,34,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),449.0,0.118,384.0,512.0,44.14
34,35,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),1281.0,0.336,1024.0,512.0,43.96
35,36,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),2136.0,0.56,1024.0,514.0,43.17
36,37,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),1885.0,0.494,896.0,512.0,41.92
37,38,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),13563.0,7.111,4096.0,32768.0,41.83
38,39,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),413.0,0.108,1024.0,,41.1
39,40,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),5887.0,1.54,8960.0,131072.0,40.44
40,41,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),119.0,0.031,1024.0,,38.59
41,42,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),29449.0,7.099,4096.0,32768.0,37.99
42,43,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),530.0,0.278,768.0,512.0,36.76
43,44,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),1061.0,0.278,768.0,514.0,35.31
44,45,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),2272.0,0.607,2048.0,32768.0,34.28
45,46,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),13563.0,7.111,,32768.0,33.24
46,47,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),204.0,0.107,384.0,512.0,32.81
47,48,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),2441.0,1.28,2048.0,2048.0,30.96
48,49,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),489.0,0.128,256.0,,30.5
49,50,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),,0.137,768.0,8192.0,30.41
50,51,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),420.0,0.11,768.0,512.0,29.87
51,52,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),2441.0,1.28,2048.0,2048.0,29.76
52,53,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),2136.0,0.56,1024.0,514.0,28.67
53,54,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),,0.137,768.0,8192.0,27.82
54,55,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),1278.0,0.335,1024.0,514.0,27.18
55,56,[e5-large](https://huggingface.co/intfloat/e5-large),1278.0,0.335,1024.0,512.0,27.15
56,57,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),2441.0,1.28,2048.0,2048.0,26.98
57,58,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),,0.112,,4096.0,26.9
58,59,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),522.0,0.137,768.0,8192.0,25.97
59,60,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),,0.137,768.0,8192.0,25.2
60,61,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),91.0,0.048,384.0,8192.0,24.61
61,62,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),134.0,0.035,512.0,512.0,23.62
62,63,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),284.0,0.149,768.0,8192.0,23.58
63,64,[e5-base](https://huggingface.co/intfloat/e5-base),418.0,0.109,768.0,512.0,22.76
64,65,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),418.0,0.109,768.0,512.0,22.32
65,66,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),1660.0,0.435,4096.0,8192.0,21.71
66,67,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),27126.0,7.153,4096.0,32768.0,21.49
67,68,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),1274.0,0.335,1024.0,512.0,20.98
68,69,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),14975.0,7.85,4096.0,32768.0,20.7
69,70,[e5-small](https://huggingface.co/intfloat/e5-small),127.0,0.033,384.0,512.0,20.48
70,71,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),1796.0,0.471,768.0,512.0,20.21
71,72,[gte-large](https://huggingface.co/thenlper/gte-large),639.0,0.335,1024.0,512.0,19.82
72,73,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),127.0,0.033,384.0,512.0,19.67
73,74,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),1242.0,0.335,1024.0,512.0,18.8
74,75,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),14975.0,7.85,4096.0,32768.0,18.39
75,76,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),1061.0,0.278,768.0,512.0,17.8
76,77,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),127.0,0.033,384.0,512.0,17.65
77,78,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),1278.0,0.335,1024.0,4096.0,17.0
78,79,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),2136.0,0.56,1024.0,514.0,16.84
79,80,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),1061.0,0.278,768.0,514.0,16.71
80,81,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),1796.0,0.471,768.0,512.0,16.64
81,82,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),1242.0,0.335,1024.0,512.0,16.56
82,83,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),1278.0,0.335,1024.0,512.0,16.49
83,84,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),639.0,0.335,1024.0,512.0,16.4
84,85,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),87.0,0.023,384.0,512.0,16.23
85,86,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),390.0,0.109,768.0,512.0,16.15
86,87,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),418.0,0.109,768.0,512.0,16.13
87,88,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),29.0,0.008,256.0,,16.06
88,89,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),87.0,0.023,384.0,512.0,16.05
89,90,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),390.0,0.109,768.0,512.0,16.01
90,91,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),418.0,0.109,768.0,512.0,15.92
91,92,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),1278.0,0.335,1024.0,512.0,15.86
92,93,[gte-base](https://huggingface.co/thenlper/gte-base),209.0,0.109,768.0,512.0,15.71
93,94,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),29.0,0.008,256.0,,15.42
94,95,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),415.0,0.109,768.0,512.0,15.38
95,96,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),391.0,0.103,256.0,,15.37
96,97,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),1061.0,0.278,768.0,514.0,14.75
97,98,[gte-small](https://huggingface.co/thenlper/gte-small),64.0,0.033,384.0,512.0,14.67
98,99,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),27126.0,7.153,4096.0,32768.0,14.6
99,100,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),66.0,0.017,384.0,512.0,14.54
100,101,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),87.0,0.023,384.0,512.0,14.21
101,102,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),449.0,0.118,384.0,512.0,13.94
102,103,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),,0.109,,512.0,13.79
103,104,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),60.0,0.016,384.0,512.0,13.62
104,105,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),1659.0,0.435,1024.0,514.0,13.59
105,106,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),60.0,0.016,384.0,512.0,13.44
106,107,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),449.0,0.118,384.0,512.0,13.31
107,108,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),238.0,0.125,768.0,512.0,13.28
108,109,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),14.0,0.004,128.0,,13.1
109,110,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),492.0,0.129,768.0,512.0,12.78
110,111,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),1061.0,0.278,768.0,514.0,12.65
111,112,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),415.0,0.109,768.0,512.0,12.59
112,113,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),73.0,0.019,384.0,512.0,12.21
113,114,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),66.0,0.017,384.0,512.0,12.16
114,115,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),490.0,0.129,768.0,512.0,11.82
115,116,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),87.0,0.023,384.0,512.0,11.81
116,116,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),87.0,0.023,384.0,256.0,11.81
117,118,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),127.0,0.033,384.0,512.0,11.79
118,119,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),127.0,0.033,512.0,512.0,11.74
119,120,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),449.0,0.118,384.0,256.0,11.71
120,121,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),489.0,0.128,256.0,,11.24
121,122,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),127.0,0.033,384.0,512.0,10.78
122,123,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),58.0,0.03,384.0,512.0,10.76
123,124,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),127.0,0.033,384.0,512.0,10.73
124,125,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),418.0,0.109,768.0,384.0,10.67
125,126,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),7.0,0.002,64.0,,10.15
126,127,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),475.0,0.124,768.0,514.0,10.11
127,128,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),86.0,0.023,384.0,512.0,9.72
128,129,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),449.0,0.118,384.0,512.0,9.18
129,130,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),522.0,0.137,768.0,2048.0,9.13
130,131,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),522.0,0.137,768.0,8192.0,9.01
131,132,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),416.0,0.109,768.0,512.0,8.79
132,133,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),9560.0,2.506,2048.0,8192.0,8.39
133,134,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),66.0,0.017,384.0,512.0,8.21
134,135,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),,7.068,4096.0,,8.15
135,136,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),418.0,0.109,768.0,514.0,7.91
136,137,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),127.0,0.033,384.0,256.0,7.44
137,138,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),1540.0,0.404,1024.0,512.0,7.01
138,139,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),91.0,0.033,512.0,512.0,6.86
139,140,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),1278.0,0.335,1024.0,512.0,6.84
140,141,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),,0.335,1024.0,512.0,6.34
141,142,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),45.0,0.012,312.0,512.0,5.11
142,143,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),516.0,0.135,768.0,512.0,4.67
143,144,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),516.0,0.135,768.0,512.0,4.4
144,145,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),391.0,0.102,256.0,,4.16
145,146,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),112.0,0.029,312.0,2048.0,4.11
146,147,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),408.0,0.107,768.0,512.0,3.71
147,148,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),4883.0,1.28,768.0,512.0,3.65
148,149,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),158.0,0.099,1024.0,512.0,3.61
149,150,[USER-base](https://huggingface.co/deepvk/USER-base),473.0,0.427,768.0,512.0,3.56
150,151,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),111.0,0.029,312.0,2048.0,3.1
151,152,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),1629.0,0.427,1024.0,512.0,3.1
152,153,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),621.0,0.163,768.0,512.0,3.08
153,154,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),390.0,0.102,768.0,512.0,3.01
154,155,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),408.0,0.107,768.0,512.0,2.94
155,156,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),62.0,0.033,512.0,8192.0,2.89
156,157,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),1629.0,0.427,1024.0,512.0,2.6
157,158,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),262.0,0.137,768.0,8192.0,2.6
158,159,random-encoder-baseline,,,32.0,,2.53
159,160,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),473.0,0.124,768.0,512.0,2.11
160,161,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),1136.0,0.596,1024.0,32768.0,
161,161,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),7671.0,4.022,2560.0,32768.0,
